Celebrate_Thanksgiving,main_dish,turkey_cooked?,living_situation,Age,gender,Income,US Region
No,,,,18 - 29,Female,"$25,000 to $49,999",East North Central
No,,,,18 - 29,Male,"$25,000 to $49,999",Pacific
Yes,Turkey,Roasted,Suburban,60+,Female,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Baked,Urban,45 - 59,Female,"$25,000 to $49,999",West South Central
Yes,Turkey,Baked,Urban,18 - 29,Male,Prefer not to answer,South Atlantic
Yes,Turkey,Other (please specify),Suburban,30 - 44,Female,"$150,000 to $174,999",West South Central
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$25,000 to $49,999",East North Central
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Roasted,Rural,30 - 44,Male,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Male,Prefer not to answer,South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,30 - 44,Male,Prefer not to answer,New England
Yes,Turkey,Roasted,Urban,45 - 59,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Fried,Suburban,30 - 44,Female,Prefer not to answer,West South Central
Yes,Turkey,Other (please specify),Suburban,60+,Female,"$200,000 and up",West North Central
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$125,000 to $149,999",South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$175,000 to $199,999",South Atlantic
Yes,Turkey,Fried,Suburban,18 - 29,Male,"$0 to $9,999",South Atlantic
Yes,Turkey,Fried,Rural,45 - 59,Male,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Rural,45 - 59,Male,"$125,000 to $149,999",New England
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,I don't know,Urban,18 - 29,Female,"$125,000 to $149,999",East North Central
Yes,Ham/Pork,Baked,Suburban,30 - 44,Female,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$125,000 to $149,999",East South Central
Yes,Turkey,Roasted,Suburban,60+,Male,"$150,000 to $174,999",New England
Yes,Turkey,Roasted,Rural,18 - 29,Male,"$0 to $9,999",West South Central
Yes,Turkey,Roasted,Suburban,30 - 44,Male,Prefer not to answer,West North Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$75,000 to $99,999",Mountain
Yes,Turkey,Baked,Rural,60+,Female,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Baked,Rural,60+,Male,"$100,000 to $124,999",East North Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,Prefer not to answer,New England
Yes,Turkey,Baked,Suburban,60+,Female,"$125,000 to $149,999",South Atlantic
No,,,,45 - 59,Male,"$10,000 to $24,999",
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$75,000 to $99,999",West South Central
Yes,Turkey,Roasted,Rural,45 - 59,Male,"$125,000 to $149,999",New England
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Roasted,Rural,60+,Male,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Urban,60+,Male,"$10,000 to $24,999",West North Central
Yes,Turkey,Baked,Rural,60+,Male,"$200,000 and up",South Atlantic
No,,,,30 - 44,Male,"$200,000 and up",East North Central
Yes,Turkey,Roasted,Suburban,45 - 59,Female,Prefer not to answer,West North Central
No,,,,18 - 29,Male,"$0 to $9,999",Middle Atlantic
Yes,Turkey,Fried,Suburban,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$200,000 and up",New England
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$50,000 to $74,999",East North Central
Yes,Turkey,Fried,Suburban,45 - 59,Female,"$25,000 to $49,999",West South Central
Yes,Turkey,Roasted,Rural,30 - 44,Female,"$125,000 to $149,999",South Atlantic
Yes,Turkey,Baked,Rural,60+,Female,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$200,000 and up",West South Central
Yes,Turkey,Baked,Urban,45 - 59,Female,"$50,000 to $74,999",West South Central
Yes,Turkey,Baked,Rural,45 - 59,Female,"$200,000 and up",East North Central
Yes,Other (please specify),Baked,Suburban,60+,Female,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$175,000 to $199,999",Middle Atlantic
No,,,,18 - 29,Female,Prefer not to answer,
Yes,Turkey,Roasted,Suburban,60+,Female,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Male,"$150,000 to $174,999",West South Central
No,,,,45 - 59,Male,"$200,000 and up",New England
No,,,,30 - 44,Male,"$25,000 to $49,999",Pacific
Yes,Turkey,Roasted,Suburban,60+,Male,"$25,000 to $49,999",East North Central
Yes,Turkey,Baked,Rural,60+,Male,"$25,000 to $49,999",South Atlantic
No,,,,30 - 44,Male,"$50,000 to $74,999",Pacific
No,,,,45 - 59,Male,"$200,000 and up",South Atlantic
Yes,Other (please specify),Baked,Suburban,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Roasted,Urban,45 - 59,Female,Prefer not to answer,
Yes,Turkey,Roasted,Suburban,30 - 44,Male,Prefer not to answer,Middle Atlantic
Yes,Turkey,Baked,Urban,30 - 44,Male,"$10,000 to $24,999",East North Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$25,000 to $49,999",New England
Yes,Turkey,Other (please specify),Rural,45 - 59,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Baked,Rural,45 - 59,Male,"$125,000 to $149,999",West South Central
Yes,Other (please specify),I don't know,Rural,45 - 59,Male,"$200,000 and up",East North Central
Yes,Roast beef,Roasted,Suburban,60+,Female,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Urban,30 - 44,Female,"$25,000 to $49,999",New England
Yes,Turkey,Baked,Suburban,45 - 59,Male,"$100,000 to $124,999",East North Central
Yes,Turkey,Roasted,Rural,45 - 59,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Roasted,Rural,60+,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Rural,45 - 59,Male,"$200,000 and up",South Atlantic
Yes,Turkey,Other (please specify),Urban,60+,Female,"$50,000 to $74,999",East North Central
Yes,Turkey,Baked,Suburban,45 - 59,Male,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$50,000 to $74,999",East North Central
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$0 to $9,999",Pacific
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$200,000 and up",South Atlantic
Yes,Turkey,Baked,Urban,45 - 59,Male,"$75,000 to $99,999",West South Central
Yes,Turkey,Other (please specify),,,,,
Yes,Turkey,Baked,Rural,30 - 44,Male,"$0 to $9,999",Pacific
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$100,000 to $124,999",New England
Yes,Other (please specify),Baked,Suburban,45 - 59,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Fried,Suburban,45 - 59,Female,"$25,000 to $49,999",South Atlantic
Yes,Other (please specify),Other (please specify),Suburban,60+,Male,"$25,000 to $49,999",Middle Atlantic
No,,,,30 - 44,Female,"$50,000 to $74,999",East North Central
Yes,Ham/Pork,Baked,Rural,45 - 59,Female,"$125,000 to $149,999",East North Central
Yes,Turkey,I don't know,Urban,18 - 29,Female,"$50,000 to $74,999",
Yes,Turkey,Baked,Suburban,60+,Male,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Urban,60+,Male,"$75,000 to $99,999",Middle Atlantic
Yes,Ham/Pork,Baked,Suburban,30 - 44,Female,"$75,000 to $99,999",South Atlantic
Yes,Other (please specify),Roasted,Suburban,60+,Male,Prefer not to answer,Middle Atlantic
Yes,Turkey,Baked,Urban,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
Yes,Ham/Pork,Baked,Urban,30 - 44,Male,"$25,000 to $49,999",Pacific
Yes,Turkey,Roasted,Suburban,60+,Male,"$50,000 to $74,999",East North Central
Yes,Turkey,Baked,Rural,60+,Male,"$200,000 and up",East North Central
No,,,,60+,Male,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Rural,18 - 29,Female,"$75,000 to $99,999",West South Central
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$0 to $9,999",East North Central
Yes,Turkey,Roasted,Urban,60+,Male,"$175,000 to $199,999",South Atlantic
Yes,Turkey,Fried,,,,,
Yes,Turkey,Roasted,Urban,18 - 29,Male,"$75,000 to $99,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$100,000 to $124,999",West North Central
Yes,Turkey,Roasted,Rural,60+,Female,"$125,000 to $149,999",South Atlantic
Yes,Turkey,Baked,Rural,30 - 44,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$75,000 to $99,999",West North Central
No,,,,18 - 29,Female,"$0 to $9,999",
Yes,Turkey,Roasted,Suburban,60+,Female,"$175,000 to $199,999",Middle Atlantic
Yes,Turkey,Baked,Urban,45 - 59,Female,"$200,000 and up",Mountain
No,,,,18 - 29,Female,"$100,000 to $124,999",Pacific
Yes,Turkey,Other (please specify),Rural,30 - 44,Male,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Baked,Urban,45 - 59,Female,"$75,000 to $99,999",Pacific
No,,,,18 - 29,Male,"$0 to $9,999",South Atlantic
Yes,Turkey,Baked,Urban,18 - 29,Male,"$0 to $9,999",New England
Yes,Tofurkey,Baked,Suburban,45 - 59,Female,"$75,000 to $99,999",Mountain
No,,,,18 - 29,Female,"$10,000 to $24,999",Mountain
No,,,,45 - 59,Female,"$125,000 to $149,999",East North Central
Yes,Turkey,Baked,Rural,60+,Male,"$10,000 to $24,999",Pacific
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$75,000 to $99,999",East South Central
Yes,Chicken,Baked,Urban,60+,Female,Prefer not to answer,Mountain
Yes,Turkey,Baked,Urban,30 - 44,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$125,000 to $149,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Female,Prefer not to answer,East North Central
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$125,000 to $149,999",Mountain
Yes,Turkey,Roasted,Rural,45 - 59,Male,"$10,000 to $24,999",Middle Atlantic
Yes,Turkey,Baked,Urban,60+,Female,"$0 to $9,999",West South Central
Yes,Turkey,Other (please specify),Suburban,60+,Female,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$200,000 and up",South Atlantic
Yes,Chicken,Fried,Urban,18 - 29,Female,Prefer not to answer,West North Central
Yes,Turkey,Baked,Urban,45 - 59,Male,"$25,000 to $49,999",Pacific
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$100,000 to $124,999",East South Central
Yes,Turkey,Other (please specify),Suburban,45 - 59,Female,"$125,000 to $149,999",South Atlantic
Yes,,,,,,,
No,,,,18 - 29,Male,Prefer not to answer,Middle Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Male,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Female,"$25,000 to $49,999",East North Central
Yes,Turkey,Roasted,Rural,60+,Female,"$25,000 to $49,999",East South Central
Yes,Turkey,Other (please specify),Suburban,45 - 59,Male,Prefer not to answer,Middle Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Fried,Urban,30 - 44,Male,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$200,000 and up",South Atlantic
Yes,Turkey,Fried,Suburban,30 - 44,Male,"$25,000 to $49,999",West South Central
Yes,Turkey,Baked,Rural,60+,Male,"$25,000 to $49,999",New England
Yes,Turkey,Roasted,Suburban,60+,Male,"$100,000 to $124,999",East North Central
Yes,Turkey,Other (please specify),Urban,18 - 29,Female,Prefer not to answer,West South Central
Yes,Turkey,Baked,Urban,30 - 44,Female,"$0 to $9,999",East North Central
Yes,Turkey,Baked,Rural,30 - 44,Female,"$200,000 and up",Mountain
Yes,Turkey,Roasted,Urban,45 - 59,Male,"$50,000 to $74,999",East North Central
Yes,Turkey,Baked,Rural,18 - 29,Female,"$25,000 to $49,999",West South Central
No,,,,30 - 44,Male,"$100,000 to $124,999",Middle Atlantic
Yes,Ham/Pork,Roasted,Rural,45 - 59,Male,"$50,000 to $74,999",East North Central
No,,,,18 - 29,Male,"$10,000 to $24,999",West South Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$25,000 to $49,999",Mountain
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$10,000 to $24,999",Pacific
Yes,Turkey,Roasted,Suburban,60+,Female,"$125,000 to $149,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$10,000 to $24,999",West North Central
Yes,Roast beef,Roasted,Urban,18 - 29,Male,"$0 to $9,999",
Yes,Turkey,Baked,Suburban,60+,Male,Prefer not to answer,South Atlantic
Yes,Other (please specify),Baked,Urban,30 - 44,Female,"$25,000 to $49,999",West North Central
Yes,Roast beef,Roasted,Urban,18 - 29,Male,"$0 to $9,999",
Yes,Tofurkey,Baked,Urban,18 - 29,Female,"$10,000 to $24,999",Pacific
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$200,000 and up",
Yes,Turkey,Baked,Suburban,45 - 59,Male,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Female,"$50,000 to $74,999",Pacific
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$200,000 and up",South Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,Prefer not to answer,East North Central
Yes,Turkey,Roasted,Suburban,60+,Female,"$125,000 to $149,999",South Atlantic
Yes,Roast beef,Fried,Suburban,18 - 29,Male,"$0 to $9,999",
Yes,Chicken,Roasted,Urban,18 - 29,Male,"$0 to $9,999",West South Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$75,000 to $99,999",West South Central
Yes,Turkey,Baked,Urban,30 - 44,Male,"$25,000 to $49,999",Pacific
Yes,Turkey,Fried,Suburban,30 - 44,Female,"$175,000 to $199,999",Middle Atlantic
Yes,Roast beef,Other (please specify),Suburban,30 - 44,Female,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$125,000 to $149,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,60+,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,I don't know,Suburban,18 - 29,Male,Prefer not to answer,Pacific
Yes,Turkey,Roasted,Urban,60+,Male,"$50,000 to $74,999",Pacific
Yes,Tofurkey,Baked,Suburban,18 - 29,Female,"$25,000 to $49,999",West North Central
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$0 to $9,999",Pacific
Yes,Turkey,Baked,Urban,18 - 29,Female,"$100,000 to $124,999",Pacific
Yes,Turkey,Baked,Urban,18 - 29,Female,"$0 to $9,999",West South Central
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$150,000 to $174,999",Pacific
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
Yes,I don't know,Roasted,Suburban,18 - 29,Female,"$50,000 to $74,999",Pacific
No,,,,30 - 44,Female,Prefer not to answer,West South Central
Yes,Other (please specify),Other (please specify),Rural,45 - 59,Female,"$75,000 to $99,999",South Atlantic
Yes,Roast beef,Roasted,Urban,60+,Male,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Roasted,,,,,
Yes,Turkey,Baked,Urban,30 - 44,Female,"$0 to $9,999",West South Central
Yes,Turkey,Roasted,Urban,30 - 44,Male,"$75,000 to $99,999",Pacific
Yes,Other (please specify),Baked,Urban,18 - 29,Female,"$25,000 to $49,999",West South Central
Yes,Turkey,Baked,Rural,30 - 44,Male,"$75,000 to $99,999",West South Central
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$0 to $9,999",West South Central
Yes,Other (please specify),Roasted,Urban,18 - 29,Female,Prefer not to answer,Pacific
Yes,Turkey,Roasted,Urban,18 - 29,Female,"$10,000 to $24,999",Pacific
Yes,Turkey,Roasted,Suburban,60+,Female,"$100,000 to $124,999",Mountain
Yes,Roast beef,Baked,,,,,
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$50,000 to $74,999",Pacific
Yes,Turkey,Roasted,Urban,60+,Female,Prefer not to answer,Mountain
No,,,,18 - 29,Male,"$0 to $9,999",Mountain
Yes,Tofurkey,Baked,Urban,30 - 44,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Fried,Rural,18 - 29,Female,"$50,000 to $74,999",West North Central
Yes,Turkey,Roasted,Suburban,18 - 29,Female,"$100,000 to $124,999",Pacific
Yes,Ham/Pork,Baked,Suburban,18 - 29,Female,"$10,000 to $24,999",Pacific
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Roasted,Urban,45 - 59,Female,"$100,000 to $124,999",Pacific
Yes,Chicken,Roasted,Urban,30 - 44,Male,"$100,000 to $124,999",New England
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$25,000 to $49,999",West North Central
Yes,Turkey,Baked,Urban,60+,Female,"$50,000 to $74,999",East North Central
Yes,Turkey,Roasted,Suburban,60+,Female,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Urban,30 - 44,Male,"$50,000 to $74,999",East North Central
Yes,Turkey,Baked,Rural,60+,Female,"$100,000 to $124,999",East North Central
Yes,Turkey,Baked,Urban,45 - 59,Female,"$175,000 to $199,999",Pacific
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$25,000 to $49,999",Pacific
Yes,Turkey,Baked,Rural,60+,Male,Prefer not to answer,West South Central
Yes,Turkey,Baked,Rural,30 - 44,Male,"$10,000 to $24,999",West North Central
Yes,Chicken,Baked,Suburban,45 - 59,Female,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$100,000 to $124,999",Pacific
Yes,Turkey,Roasted,Suburban,18 - 29,Female,"$175,000 to $199,999",Pacific
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$50,000 to $74,999",Pacific
Yes,Chicken,Baked,Rural,45 - 59,Female,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Roasted,Rural,30 - 44,Female,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Roasted,Rural,18 - 29,Female,Prefer not to answer,South Atlantic
Yes,Chicken,Fried,Urban,30 - 44,Female,"$25,000 to $49,999",
Yes,I don't know,I don't know,Rural,18 - 29,Female,Prefer not to answer,West North Central
Yes,Turkey,Roasted,Urban,45 - 59,Female,"$25,000 to $49,999",East North Central
Yes,Turkey,Roasted,Urban,60+,Male,"$25,000 to $49,999",Pacific
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$100,000 to $124,999",South Atlantic
Yes,,,,,,,
Yes,Turkey,Baked,Urban,30 - 44,Female,"$50,000 to $74,999",Mountain
Yes,Turkey,Roasted,Suburban,60+,Male,"$50,000 to $74,999",Pacific
Yes,Turkey,Roasted,Urban,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$75,000 to $99,999",Pacific
Yes,Turkey,Fried,Suburban,18 - 29,Female,"$0 to $9,999",West South Central
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Baked,Urban,45 - 59,Female,Prefer not to answer,Pacific
Yes,Turkey,Roasted,Suburban,60+,Female,"$200,000 and up",Middle Atlantic
No,,,,30 - 44,Male,"$0 to $9,999",Pacific
Yes,Turkey,Roasted,Suburban,18 - 29,Female,Prefer not to answer,East North Central
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
No,,,,45 - 59,Female,"$0 to $9,999",Mountain
Yes,Turkey,Baked,Urban,18 - 29,Female,"$0 to $9,999",Pacific
Yes,Turkey,Baked,Urban,18 - 29,Female,"$10,000 to $24,999",East North Central
Yes,Turkey,Other (please specify),Rural,60+,Female,"$200,000 and up",Pacific
Yes,Turkey,Roasted,Urban,60+,Female,"$150,000 to $174,999",Pacific
Yes,Turkey,Roasted,Suburban,60+,Female,"$100,000 to $124,999",Pacific
No,,,,45 - 59,Female,"$75,000 to $99,999",Pacific
No,,,,18 - 29,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Fried,Rural,18 - 29,Female,"$0 to $9,999",South Atlantic
Yes,Turkey,Baked,,,,,
Yes,,,,,,,
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Baked,Rural,30 - 44,Female,"$25,000 to $49,999",West South Central
Yes,Turkey,Roasted,,,,,
Yes,Turkey,Baked,Urban,18 - 29,Male,"$25,000 to $49,999",West South Central
Yes,,,,,,,
No,,,,18 - 29,Male,Prefer not to answer,
Yes,Turkey,Baked,Urban,18 - 29,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Suburban,60+,Male,"$200,000 and up",Pacific
Yes,Turkey,Roasted,,,,,
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$150,000 to $174,999",Pacific
Yes,Turkey,Roasted,Urban,60+,Female,"$75,000 to $99,999",New England
Yes,Turkey,Baked,Urban,18 - 29,Female,"$150,000 to $174,999",West South Central
Yes,Other (please specify),Roasted,Rural,60+,Female,"$150,000 to $174,999",Pacific
No,,,,18 - 29,Male,Prefer not to answer,West South Central
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$0 to $9,999",Pacific
Yes,Turkey,Baked,Urban,18 - 29,Female,"$0 to $9,999",West South Central
No,,,,60+,Male,"$50,000 to $74,999",Pacific
No,,,,18 - 29,Male,Prefer not to answer,
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$10,000 to $24,999",West North Central
Yes,Turkey,Baked,Rural,18 - 29,Female,"$50,000 to $74,999",East South Central
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$10,000 to $24,999",Pacific
No,,,,60+,Female,"$10,000 to $24,999",West North Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$150,000 to $174,999",Pacific
Yes,Chicken,Baked,Urban,60+,Male,"$25,000 to $49,999",New England
No,,,,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$200,000 and up",Middle Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$125,000 to $149,999",West South Central
Yes,Turkey,Roasted,Urban,60+,Female,"$200,000 and up",Mountain
Yes,I don't know,Fried,Rural,18 - 29,Male,"$0 to $9,999",
Yes,Turkey,Baked,Urban,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Roasted,Suburban,18 - 29,Male,"$0 to $9,999",South Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$0 to $9,999",West North Central
Yes,Turkey,Baked,Rural,45 - 59,Female,Prefer not to answer,East South Central
No,,,,30 - 44,Female,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Suburban,60+,Female,"$125,000 to $149,999",Pacific
Yes,Turkey,Baked,Urban,45 - 59,Female,"$75,000 to $99,999",West South Central
Yes,Turkey,Roasted,Suburban,60+,Female,"$100,000 to $124,999",Pacific
No,,,,18 - 29,Male,"$0 to $9,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$50,000 to $74,999",West North Central
Yes,Tofurkey,Baked,Suburban,30 - 44,Male,"$0 to $9,999",Middle Atlantic
No,,,,45 - 59,Male,"$25,000 to $49,999",East North Central
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$75,000 to $99,999",West North Central
Yes,Roast beef,Fried,Urban,45 - 59,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Female,"$50,000 to $74,999",West South Central
Yes,Turkey,Other (please specify),Rural,60+,Male,"$10,000 to $24,999",West South Central
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$100,000 to $124,999",Pacific
Yes,Turkey,Other (please specify),Urban,60+,Male,"$50,000 to $74,999",Pacific
Yes,Turkey,Baked,Urban,18 - 29,Female,"$0 to $9,999",Pacific
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$50,000 to $74,999",Pacific
Yes,Turkey,Roasted,Urban,60+,Male,"$200,000 and up",Pacific
Yes,Turkey,Roasted,Urban,45 - 59,Male,"$50,000 to $74,999",Pacific
Yes,Turkey,Roasted,Suburban,18 - 29,Female,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$10,000 to $24,999",East North Central
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Urban,30 - 44,Female,"$50,000 to $74,999",Pacific
Yes,Turkey,Baked,Suburban,60+,Male,"$50,000 to $74,999",East South Central
Yes,Turkey,Roasted,Urban,60+,Female,"$50,000 to $74,999",Mountain
Yes,Turkey,Baked,Rural,60+,Male,"$100,000 to $124,999",Middle Atlantic
Yes,Turkey,I don't know,,,,,
Yes,Ham/Pork,Roasted,Suburban,18 - 29,Female,Prefer not to answer,South Atlantic
Yes,Turkey,Roasted,Rural,30 - 44,Female,"$100,000 to $124,999",West South Central
Yes,Turkey,Roasted,Urban,60+,Male,"$125,000 to $149,999",Pacific
No,,,,30 - 44,Female,"$0 to $9,999",Pacific
Yes,Turkey,Baked,Urban,30 - 44,Female,"$0 to $9,999",South Atlantic
Yes,Turkey,Baked,Urban,60+,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Roasted,Rural,18 - 29,Female,"$50,000 to $74,999",West North Central
Yes,Turkey,Baked,Suburban,60+,Male,"$100,000 to $124,999",West South Central
Yes,Turkey,Baked,Rural,60+,Female,Prefer not to answer,Pacific
Yes,Turkey,Baked,Urban,30 - 44,Male,"$200,000 and up",Pacific
Yes,Turkey,Baked,Suburban,60+,Female,"$200,000 and up",Mountain
Yes,Turkey,Baked,Suburban,45 - 59,Male,"$150,000 to $174,999",Pacific
Yes,Turkey,Baked,Urban,60+,Male,"$75,000 to $99,999",Pacific
Yes,Turkey,Roasted,Urban,30 - 44,Female,"$10,000 to $24,999",New England
Yes,Turkey,Baked,Rural,30 - 44,Female,"$50,000 to $74,999",East South Central
Yes,Turkey,Baked,Rural,60+,Female,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$100,000 to $124,999",West South Central
Yes,Turkey,Baked,Urban,18 - 29,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Baked,Urban,18 - 29,Female,"$0 to $9,999",Middle Atlantic
Yes,Turkey,Roasted,Urban,60+,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$200,000 and up",West North Central
Yes,Turkey,Other (please specify),Rural,45 - 59,Female,"$100,000 to $124,999",West South Central
Yes,Turkey,Roasted,Suburban,60+,Female,"$100,000 to $124,999",Middle Atlantic
